entry	end	size	name	prototype
002d02f0	002d02ff	16	iEnableIntcHandler	undefined iEnableIntcHandler()
002d0300	002d030f	16	DisableIntcHandler	undefined DisableIntcHandler()
002d0310	002d031f	16	iDisableIntcHandler	undefined iDisableIntcHandler()
002d0320	002d032f	16	EnableDmacHandler	undefined EnableDmacHandler()
002d0330	002d033f	16	iEnableDmacHandler	undefined iEnableDmacHandler()
002d0340	002d034f	16	DisableDmacHandler	undefined DisableDmacHandler()
002d0350	002d035f	16	iDisableDmacHandler	undefined iDisableDmacHandler()
002d0360	002d036f	16	KSeg0	undefined KSeg0()
002d0370	002d037f	16	EnableCache	undefined EnableCache()
002d0380	002d038f	16	DisableCache	undefined DisableCache()
002d0390	002d039f	16	GetCop0	undefined GetCop0()
002d03a0	002d03af	16	FlushCache	undefined FlushCache()
002d03b0	002d03bf	16	CpuConfig	undefined CpuConfig()
002d03c0	002d03cf	16	iGetCop0	undefined iGetCop0()
002d03d0	002d03df	16	iFlushCache	undefined iFlushCache()
002d03e0	002d03ef	16	iCpuConfig	undefined iCpuConfig()
002d03f0	002d03ff	16	sceSifStopDma	undefined sceSifStopDma()
002d0400	002d040f	16	SetCPUTimerHandler	undefined SetCPUTimerHandler()
002d0410	002d041f	16	SetCPUTimer	undefined SetCPUTimer()
002d0420	002d042f	16	ForceRead	undefined ForceRead()
002d0430	002d043f	16	ForceWrite	undefined ForceWrite()
002d0440	002d044f	16	GsGetIMR	undefined GsGetIMR()
002d0450	002d045f	16	iGsGetIMR	undefined iGsGetIMR()
002d0460	002d046f	16	GsPutIMR	undefined GsPutIMR()
002d0470	002d047f	16	iGsPutIMR	undefined iGsPutIMR()
002d0480	002d048f	16	SetPgifHandler	undefined SetPgifHandler()
002d0490	002d049f	16	SetVSyncFlag	undefined SetVSyncFlag()
002d04a0	002d04af	16	RFU116	undefined RFU116()
002d04b0	002d04bf	16	print	undefined print()
002d04c0	002d04cf	16	sceSifDmaStat	undefined sceSifDmaStat()
002d04d0	002d04df	16	isceSifDmaStat	undefined isceSifDmaStat()
002d04e0	002d04ef	16	sceSifSetDma	undefined sceSifSetDma()
002d04f0	002d04ff	16	isceSifSetDma	undefined isceSifSetDma()
002d0500	002d050f	16	sceSifSetDChain	undefined sceSifSetDChain()
002d0510	002d051f	16	isceSifSetDChain	undefined isceSifSetDChain()
002d0520	002d052f	16	sceSifSetReg	undefined sceSifSetReg()
002d0530	002d053f	16	sceSifGetReg	undefined sceSifGetReg()
002d0540	002d054f	16	ExecOSD	undefined ExecOSD()
002d0550	002d055f	16	Deci2Call	undefined Deci2Call()
002d0560	002d056f	16	PSMode	undefined PSMode()
002d0570	002d057f	16	MachineType	undefined MachineType()
002d0580	002d058f	16	GetMemorySize	undefined GetMemorySize()
002d0590	002d05c7	56	VSync	undefined VSync()
002d05c8	002d061f	88	VSync2	undefined VSync2()
002d0620	002d069b	124	write	ssize_t write(int __fd, void * __buf, size_t __n)
002d06a0	002d0713	116	read	ssize_t read(int __fd, void * __buf, size_t __nbytes)
002d0718	002d073f	40	open	int open(char * __file, int __oflag, ...)
002d0740	002d0747	8	close	int close(int __fd)
002d0748	002d074f	8	ioctl	int ioctl(int __fd, ulong __request, ...)
002d0750	002d0757	8	lseek	__off_t lseek(int __fd, __off_t __offset, int __whence)
002d0758	002d07ff	168	sbrk	void * sbrk(intptr_t __delta)
002d0800	002d0807	8	isatty	int isatty(int __fd)
002d0808	002d081b	20	fstat	int fstat(int __fd, stat * __buf)
002d0820	002d0827	8	getpid	__pid_t getpid(void)
002d0828	002d084f	40	kill	int kill(__pid_t __pid, int __sig)
002d0850	002d0877	40	stat	int stat(char * __file, stat * __buf)
002d0878	002d089f	40	unlink	int unlink(char * __name)
002d08a0	002d08f3	84	putnum	undefined putnum()
002d08f8	002d090b	20	get_mem_info	undefined get_mem_info()
002d0910	002d09b3	164	_sceSDC	undefined _sceSDC()
002d09b8	002d0a2b	116	SyncDCache	undefined SyncDCache()
002d0a30	002d0a43	20	iSyncDCache	undefined iSyncDCache()
002d0a48	002d0aeb	164	_sceIDC	undefined _sceIDC()
002d0af0	002d0b63	116	InvalidDCache	undefined InvalidDCache()
002d0b68	002d0b7b	20	iInvalidDCache	undefined iInvalidDCache()
002d0b80	002d0be3	100	DisableIntc	undefined DisableIntc()
002d0be8	002d0c4b	100	EnableIntc	undefined EnableIntc()
002d0c50	002d0cb3	100	DisableDmac	undefined DisableDmac()
002d0cb8	002d0d1b	100	EnableDmac	undefined EnableDmac()
002d0d20	002d0d8b	108	SetAlarm	undefined SetAlarm()
002d0d90	002d0df3	100	ReleaseAlarm	undefined ReleaseAlarm()
002d0df8	002d0e17	32	iEnableIntc	undefined iEnableIntc()
002d0e18	002d0e37	32	iDisableIntc	undefined iDisableIntc()
002d0e38	002d0e57	32	iEnableDmac	undefined iEnableDmac()
002d0e58	002d0e77	32	iDisableDmac	undefined iDisableDmac()
002d0e78	002d0e97	32	iSetAlarm	undefined iSetAlarm()
002d0e98	002d0eb7	32	iReleaseAlarm	undefined iReleaseAlarm()
002d0eb8	002d0edb	36	QueueInit	undefined QueueInit()
002d0ee0	002d0f1b	60	QueuePeekWriteDone	undefined QueuePeekWriteDone()
002d0f20	002d0f5b	60	QueuePeekReadDone	undefined QueuePeekReadDone()
002d0f60	002d10db	380	sceTtyHandler	undefined sceTtyHandler()
002d10e0	002d122f	332	sceTtyWrite	undefined sceTtyWrite()
002d1230	002d1307	216	sceTtyRead	undefined sceTtyRead()
002d1308	002d13c3	188	sceTtyInit	undefined sceTtyInit()
002d13c8	002d13fb	52	kputchar	undefined kputchar()
002d1400	002d14af	176	deci2Putchar	undefined deci2Putchar()
002d14b0	002d14e3	52	serialPutchar	undefined serialPutchar()
002d14e8	002d1577	144	ftoi	undefined ftoi()
002d1578	002d163f	200	itof	undefined itof()
002d1640	002d17df	412	printfloat	undefined printfloat()
002d17e0	002d1d37	1364	_printf	undefined _printf()
002d1d38	002d1d7f	72	kprintf	undefined kprintf()
002d1d80	002d1def	112	scePrintf	undefined scePrintf()
002d1df0	002d1e0b	28	_set_sreg	undefined _set_sreg()
002d1e10	002d1e1b	12	_change_addr	undefined _change_addr()
002d1e20	002d1e37	24	sceSifGetSreg	undefined sceSifGetSreg()
002d1e38	002d1e53	28	sceSifSetSreg	undefined sceSifSetSreg()
002d1e58	002d1e63	12	sceSifGetDataTable	undefined sceSifGetDataTable()
002d1e68	002d20df	632	sceSifInitCmd	undefined sceSifInitCmd()
002d20e0	002d2107	40	sceSifExitCmd	undefined sceSifExitCmd()
002d2108	002d211f	24	sceSifSetCmdBuffer	undefined sceSifSetCmdBuffer()
002d2120	002d2137	24	sceSifSetSysCmdBuffer	undefined sceSifSetSysCmdBuffer()
002d2138	002d2163	44	sceSifAddCmdHandler	undefined sceSifAddCmdHandler()
002d2168	002d218f	40	sceSifRemoveCmdHandler	undefined sceSifRemoveCmdHandler()
002d2190	002d22cf	320	_sceSifSendCmd	undefined _sceSifSendCmd()
002d22d0	002d230b	60	sceSifSendCmd	undefined sceSifSendCmd()
002d2310	002d234b	60	isceSifSendCmd	undefined isceSifSendCmd()
002d2350	002d246f	288	_sceSifCmdIntrHdlr	undefined _sceSifCmdIntrHdlr()
002d2470	002d251b	172	sceSifWriteBackDCache	undefined sceSifWriteBackDCache()
002d2520	002d26af	400	sceSifInitRpc	undefined sceSifInitRpc()
002d26b0	002d26d3	36	sceSifExitRpc	undefined sceSifExitRpc()
002d26d8	002d277b	164	_sceRpcGetPacket	undefined _sceRpcGetPacket()
002d2780	002d279b	28	_sceRpcFreePacket	undefined _sceRpcFreePacket()
002d27a0	002d27cf	48	_sceRpcGetFPacket	undefined _sceRpcGetFPacket()
002d27d0	002d280f	64	_sceRpcGetFPacket2	undefined _sceRpcGetFPacket2()
002d2810	002d28bf	176	_request_end	undefined _request_end()
002d28c0	002d291f	96	_request_rdata	undefined _request_rdata()
002d2920	002d2a53	308	sceSifGetOtherData	undefined sceSifGetOtherData()
002d2a58	002d2aa3	76	_search_svdata	undefined _search_svdata()
002d2aa8	002d2b57	176	_request_bind	undefined _request_bind()
002d2b58	002d2c73	284	sceSifBindRpc	undefined sceSifBindRpc()
002d2c78	002d2d03	140	_request_call	undefined _request_call()
002d2d08	002d2ebb	436	sceSifCallRpc	undefined sceSifCallRpc()
002d2ec0	002d2efb	60	sceSifCheckStatRpc	undefined sceSifCheckStatRpc()
002d2f00	002d2f77	120	sceSifSetRpcQueue	undefined sceSifSetRpcQueue()
002d2f78	002d3007	144	sceSifRegisterRpc	undefined sceSifRegisterRpc()
002d3008	002d3083	124	sceSifRemoveRpc	undefined sceSifRemoveRpc()
002d3088	002d310b	132	sceSifRemoveRpcQueue	undefined sceSifRemoveRpcQueue()
002d3110	002d315f	80	sceSifGetNextRequest	undefined sceSifGetNextRequest()
002d3160	002d333b	476	sceSifExecRequest	undefined sceSifExecRequest()
002d3340	002d337f	60	sceSifRpcLoop	undefined sceSifRpcLoop()
002d3380	002d33ef	112	new_iob	undefined new_iob()
002d33f0	002d3413	36	get_iob	undefined get_iob()
002d3418	002d34ff	232	sceFsInit	undefined sceFsInit()
002d3500	002d350f	16	sceFsReset	undefined sceFsReset()
002d3510	002d3667	344	sceOpen	undefined sceOpen()
