path	length	kind	description
FIELD	16	4	tm_mon	/int
FIELD	20	4	tm_year	/int
FIELD	24	4	tm_wday	/int
FIELD	28	4	tm_yday	/int
FIELD	32	4	tm_isdst	/int
/u_char	1	TypedefDB	Unsigned Character (ASCII)
/u_int	4	TypedefDB	Unsigned Integer (compiler-specific size)
/u_long	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/u_short	2	TypedefDB	Signed Short Integer (compiler-specific size)
/uchar	1	UnsignedCharDataType	Unsigned Character (ASCII)
/UDItype	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/UHItype	2	TypedefDB	Signed Short Integer (compiler-specific size)
/uid_t	2	TypedefDB	Signed Short Integer (compiler-specific size)
/uint	4	UnsignedIntegerDataType	Unsigned Integer (compiler-specific size)
/ULong	4	TypedefDB	Unsigned Integer (compiler-specific size)
/ULong *	4	PointerDB	pointer to ULong
/ULong.conflict	4	TypedefDB	Unsigned Integer (compiler-specific size)
/ulong	8	UnsignedLongDataType	Unsigned Long Integer (compiler-specific size)
/ULong[1]	4	ArrayDB	Array of Unsigned Integer (compiler-specific size)
/ulonglong	8	UnsignedLongLongDataType	Unsigned Long Long Integer (compiler-specific size)
/undefined *	4	PointerDB	pointer to undefined
/undefined1	1	Undefined1DataType	Undefined Byte
/undefined1 *	4	PointerDB	pointer to undefined1
/undefined1 * *	4	PointerDB	pointer to pointer to undefined1
/undefined1 *[32]	128	ArrayDB	Array of pointer to undefined1
/undefined1[1000]	1000	ArrayDB	Array of Undefined Byte
/undefined1[1008]	1008	ArrayDB	Array of Undefined Byte
/undefined1[100]	100	ArrayDB	Array of Undefined Byte
/undefined1[1024]	1024	ArrayDB	Array of Undefined Byte
/undefined1[1032]	1032	ArrayDB	Array of Undefined Byte
/undefined1[1080]	1080	ArrayDB	Array of Undefined Byte
/undefined1[1092]	1092	ArrayDB	Array of Undefined Byte
/undefined1[10]	10	ArrayDB	Array of Undefined Byte
/undefined1[1104]	1104	ArrayDB	Array of Undefined Byte
/undefined1[1120]	1120	ArrayDB	Array of Undefined Byte
